,VehicleId,PolicyActivityId,PolicyNumber,VinMasterId,Vin,Manufacturer,Model,ModelYear,SeatingCapacity,VehicleTypeCode,VehicleSlno,VehicleEffectiveDate,VehicleExpirationDate,RegistrationState,RegPlateNo,BumperDiscountInd,DamagiabilityInd,DrlInd,EngineType,UnrepairedDamageInd,CarpoolInd,NewVehicleInd,NonOwnedVehicleInd,PrincOperInd,TractionCtrlInd,PhysicalDamageInd,VehicleLength,MaxSpeed,OrigCost,MedallionNo,VehiclePerformance,FullGlassProtection,GvwCode,Odometer,VehicleAge,VehicleActivityCode,OldVehicleId,VehicleVersion,AnnualMilage,PrimaryDriver,SecondaryDriver,IsActive,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,EncryptedVin,VehicleActualCost,InspectionDate,InspectionStatus,VehicleCondition,InspectionDueDate,DocumentReceivedDate,InspectionRequired,InspectionNumber,CertificateHolderCity
320,484,Q0000204,,,XXXXXXXXXXXL58370,63.0,,2013.0,8.0,,1.0,2020-07-02,2021-07-02,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,7.0,EDIT,,,,,,True,Administrator,2021-04-20 02:43:48.947,RSHUKLA,2021-06-21 11:47:13.493,ADsi5zZ3ky9yGUI/J3JWaAIAAADdJyYSrBQ69N9OM2mQir1gKiWt9OmdU05yfxCsNRjPv0+YhlO2jJKbDC6TB+kOsGY=,0.0,,,,1900-01-01,1900-01-01,True,,
321,485,Q0000204,,,XXXXXXXXXXXL53912,63.0,,2014.0,8.0,,2.0,2020-07-02,2021-07-02,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,6.0,EDIT,,,,,,True,Administrator,2021-04-20 02:43:48.967,RSHUKLA,2021-06-21 11:47:13.493,ADsi5zZ3ky9yGUI/J3JWaAIAAABUHjbgxCGQyxsJx0lVDIq2WZdmzd8AgJjOW+5VpPrdQ8pc9Zq3agwMNpIWPPXsrp4=,0.0,,,,1900-01-01,1900-01-01,True,,
322,486,Q0000204,,,XXXXXXXXXXX127199,40.0,,2017.0,8.0,,3.0,2020-07-02,2021-07-02,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,3.0,EDIT,,,,,,True,Administrator,2021-04-20 02:43:48.970,RSHUKLA,2021-06-21 11:47:13.493,ADsi5zZ3ky9yGUI/J3JWaAIAAADQHopNXMvEkk2qEdk9xvADWjs65nDZt2ecoXIi07syE90ImTZzknablIfady2zTGg=,0.0,,,,1900-01-01,1900-01-01,True,,
323,487,Q0000204,,,XXXXXXXXXXX529450,47.0,,2009.0,8.0,,4.0,2020-07-02,2021-06-16,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,11.0,EDIT,,,,,,True,Administrator,2021-04-20 02:43:48.970,RSHUKLA,2021-06-21 11:47:13.493,ADsi5zZ3ky9yGUI/J3JWaAIAAADFPIc5O33c7nHf5V2oXxMD4JHQa3kxomZ5OnhKfx/hwZWyXUlSIqawtRBxkeoaOho=,0.0,,,,1900-01-01,1900-01-01,True,,
324,488,Q0000205,,,XXXXXXXXXXX643847,30.0,,2011.0,7.0,,1.0,2020-06-11,2021-03-01,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,1.0,,9.0,NEW,,,,,,True,Administrator,2021-04-20 02:49:36.463,Administrator,2021-04-22 02:22:33.450,ADsi5zZ3ky9yGUI/J3JWaAIAAAD5kN7t7BqacWYallKL5mt0YepRXFYleYcLtdTEiNo81LrJI4JDFcAiOzPtlMp6Qxg=,0.0,,,,1900-01-01,1900-01-01,True,,
325,489,Q0000206,,,XXXXXXXXXXX037003,11.0,,2005.0,5.0,,1.0,2020-06-11,2021-06-11,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,1.0,,15.0,EDIT,,,,,,True,Administrator,2021-04-20 02:53:35.313,Administrator,2021-04-22 04:08:38.333,ADsi5zZ3ky9yGUI/J3JWaAIAAAAxXImuzvlA/ZGNKMmmTc5rVrZ6QzXMF1d62gxN6sbWA+Pr6goWGuN0ZPrkoJdDe6I=,0.0,,,,1900-01-01,1900-01-01,True,,
326,490,Q0000206,,,XXXXXXXXXXX509515,39.0,,2009.0,5.0,,2.0,2020-06-11,2021-01-11,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,11.0,DEL,,,,,,True,Administrator,2021-04-20 02:53:35.363,Administrator,2021-04-22 04:08:38.333,ADsi5zZ3ky9yGUI/J3JWaAIAAACX02UMuuS9YdK4wesckemjoEsK0YiZDjtRsH9hQ7gSDVQVWd4WBPkXNDrMV+mD3Jg=,0.0,,,,1900-01-01,1900-01-01,True,,
327,491,Q0000206,,,XXXXXXXXXXX098518,11.0,,2005.0,5.0,,3.0,2020-06-11,2021-06-11,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,15.0,EDIT,,,,,,True,Administrator,2021-04-20 02:53:35.367,Administrator,2021-04-22 04:08:38.333,ADsi5zZ3ky9yGUI/J3JWaAIAAAB9Pmix62YjC3zw5aSPLd+0HfuW85mCJzZALZlZxiNBktIOBxwayAlSLpZEl8RE1LY=,0.0,,,,1900-01-01,1900-01-01,True,,
328,492,Q0000206,,,XXXXXXXXXXX649224,39.0,,2010.0,5.0,,4.0,2020-06-11,2021-06-11,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,10.0,EDIT,,,,,,True,Administrator,2021-04-20 02:53:35.367,Administrator,2021-04-22 04:08:38.333,ADsi5zZ3ky9yGUI/J3JWaAIAAABrPERgfbcYjOQmvKvV//3x+TtaeXlmKSUh66oIzHW4tsAuoUbbkk+GJEGCa9bccSY=,0.0,,,,1900-01-01,1900-01-01,True,,
329,493,Q0000206,,,XXXXXXXXXXX671230,11.0,,2006.0,5.0,,5.0,2020-06-11,2021-06-11,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,14.0,EDIT,,,,,,True,Administrator,2021-04-20 02:53:35.370,Administrator,2021-04-22 04:08:38.333,ADsi5zZ3ky9yGUI/J3JWaAIAAABm3Bw/DlRTj7cOGntYgTif7vB7oQp6V8i3hZ0n/mSKCmkgtarEWK5YTde61np3wAs=,0.0,,,,1900-01-01,1900-01-01,True,,
330,494,Q0000202,,,XXXXXXXXXXX042668,11.0,,2020.0,5.0,,1.0,2021-01-15,2022-01-15,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,1.0,EDIT,,,,,,True,Administrator,2021-04-20 04:04:37.870,RSHUKLA,2021-06-28 17:19:37.007,ADsi5zZ3ky9yGUI/J3JWaAIAAAAzGFja8lwSlMMKI3UvVPMqBbwrPhAU+8eksGd685f3m2i7iQ9QLh76nss8/HtrKUI=,0.0,,,,1900-01-01,1900-01-01,True,,
