,SId,PolicyActivityId,PolicyNumber,DriverId,EffectiveDate,ExpirationDate,TransactionDate,OldDriverId,DriverActivityCode,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
9960,20230125000003324,Q0001093,22NJN00255,7294,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9961,20230125000003324,Q0001093,22NJN00255,7295,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9962,20230125000003324,Q0001093,22NJN00255,7296,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9963,20230125000003324,Q0001093,22NJN00255,7297,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9964,20230125000003324,Q0001093,22NJN00255,7298,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9965,20230125000003324,Q0001093,22NJN00255,7299,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9966,20230125000003324,Q0001093,22NJN00255,7300,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9967,20230125000003324,Q0001093,22NJN00255,7301,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9968,20230125000003324,Q0001093,22NJN00255,7302,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9969,20230125000003324,Q0001093,22NJN00255,7303,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9970,20230125000003324,Q0001093,22NJN00255,7304,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9971,20230125000003324,Q0001093,22NJN00255,7305,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9972,20230125000003324,Q0001093,22NJN00255,7306,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9973,20230125000003324,Q0001093,22NJN00255,7307,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9974,20230125000003324,Q0001093,22NJN00255,7308,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9975,20230125000003324,Q0001093,22NJN00255,7309,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
