,SId,PolicyActivityID,PolicyNumber,EffectiveDate,TransactionCode,EndorsementReason,EndorsementRemarks,ProcessDate,ProrateFactor,WrittenPremium,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
486,20210518000023889,Q0000329,21NJT00150,2021-05-16 00:00:00,CAN,,,2021-05-16 00:00:00.000,0.0,-5000.0,RSHUKLA,2021-05-18 12:12:16.683,RSHUKLA,2021-05-18 12:12:16.683
487,20210518000023896,Q0000344,21NJT00150,2021-05-16 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,5000.0,RSHUKLA,2021-05-18 12:17:01.900,RSHUKLA,2021-05-18 12:17:01.900
488,20210518000023925,Q0000343,21NJT00151,2021-05-26 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,4167.0,RSHUKLA,2021-05-18 15:11:39.493,RSHUKLA,2021-05-18 15:11:39.493
489,20210518000023931,Q0000343,21NJT00151,2021-05-26 00:00:00,CAN,,,2021-05-26 00:00:00.000,0.0,-4167.0,Administrator,2021-05-18 15:30:37.687,Administrator,2021-05-18 15:30:37.687
490,20210518000023937,Q0000349,21NJT00151,2021-05-26 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,4167.0,Administrator,2021-05-18 15:31:50.593,Administrator,2021-05-18 15:31:50.593
491,20210518000023954,Q0000347,21NJT00084,2021-05-20 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,14200.0,Administrator,2021-05-18 15:48:33.093,Administrator,2021-05-18 15:48:33.093
492,20210518000023978,Q0000312,20NJN00092,2021-04-26 00:00:00,END,MULTIPLE ENDORSEMENT,Add Vehicle,2021-04-26 00:00:00.000,0.126027,576.2,RSHUKLA,2021-05-18 17:55:36.150,RSHUKLA,2021-05-18 17:55:36.150
493,20210518000023983,Q0000211,21TXN00127,2021-04-16 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-16 00:00:00.000,0.852055,0.0,RSHUKLA,2021-05-18 18:08:26.097,RSHUKLA,2021-05-18 18:08:26.097
494,20210518000023988,Q0000231,21NJT00134,2021-04-21 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-21 00:00:00.000,0.868493,0.0,RSHUKLA,2021-05-18 18:20:39.897,RSHUKLA,2021-05-18 18:20:39.897
495,20210519000023999,Q0000350,21CAN00152,2021-05-25 00:00:00,NBS,NBS,New Business,2021-05-19 00:00:00.000,1.0,6920.0,RSHUKLA,2021-05-19 12:44:02.347,RSHUKLA,2021-05-19 12:44:02.347
496,20210519000024056,Q0000183,21PAT00123,2021-04-23 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-23 00:00:00.000,0.745205,0.0,RSHUKLA,2021-05-19 16:07:49.037,RSHUKLA,2021-05-19 16:07:49.037
497,20210519000024061,Q0000231,21NJT00134,2021-04-26 00:00:00,END,MULTIPLE ENDORSEMENT,"Add Driver
",2021-04-26 00:00:00.000,0.854795,0.0,RSHUKLA,2021-05-19 16:29:23.827,RSHUKLA,2021-05-19 16:29:23.827
498,20210519000024068,Q0000202,21PAT00068,2021-04-27 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-27 00:00:00.000,0.720548,0.0,RSHUKLA,2021-05-19 16:59:51.323,RSHUKLA,2021-05-19 16:59:51.323
499,20210520000024073,Q0000204,20NJL00093,2021-04-26 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-26 00:00:00.000,0.183562,0.0,RSHUKLA,2021-05-20 11:36:23.503,RSHUKLA,2021-05-20 11:36:23.503
500,20210520000024077,Q0000315,20ALT00114,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,"Delete Drivers
",2021-04-30 00:00:00.000,0.506849,0.0,RSHUKLA,2021-05-20 12:20:30.423,RSHUKLA,2021-05-20 12:20:30.423
501,20210520000024085,Q0000289,21PAT00137,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,"Add Driver
",2021-04-30 00:00:00.000,0.926027,0.0,RSHUKLA,2021-05-20 13:17:42.577,RSHUKLA,2021-05-20 13:17:42.577
502,20210520000024092,Q0000198,20AZT00065,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,Add driver,2021-04-30 00:00:00.000,0.657534,0.0,RSHUKLA,2021-05-20 15:26:38.080,RSHUKLA,2021-05-20 15:26:38.080
503,20210520000024139,Q0000243,21AZN00138 ,2021-04-29 00:00:00,END,MULTIPLE ENDORSEMENT,Add Cars,2021-04-29 00:00:00.000,0.942466,36190.68,RSHUKLA,2021-05-20 16:53:56.013,RSHUKLA,2021-05-20 16:53:56.013
504,20210520000024149,Q0000315,20ALT00114,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,"Add Vehicle
",2021-04-30 00:00:00.000,0.506849,1495.2,RSHUKLA,2021-05-20 17:19:26.110,RSHUKLA,2021-05-20 17:19:26.110
505,20210520000024154,Q0000315,20ALT00114,2021-05-03 00:00:00,END,MULTIPLE ENDORSEMENT,Delete Vehicle,2021-05-03 00:00:00.000,0.49863,-1470.94,RSHUKLA,2021-05-20 17:38:10.450,RSHUKLA,2021-05-20 17:38:10.450
506,20210521000000049,Q0000359,21NJT00153,2021-05-19 00:00:00,NBS,NBS,New Business,2021-05-21 00:00:00.000,1.0,53736.0,RSHUKLA,2021-05-21 13:35:21.187,RSHUKLA,2021-05-21 13:35:21.187
507,20210521000000086,Q0000364,21NJT00085,2021-05-21 00:00:00,NBS,NBS,New Business,2021-05-21 00:00:00.000,1.0,40376.0,RSHUKLA,2021-05-21 13:45:34.750,RSHUKLA,2021-05-21 13:45:34.750
